Title	URL	Assignees	Status	Milestone	Sprint	Weight	Creation Date	Done Date
Padre: crear filtros por no leida	https://github.com/SchoolSyncAr/schoolsync-fe/issues/74	francopolesel	Done	SPRINT 5	Sprint 5	1.0	2024-05-26T23:02:17Z	2024-06-25T01:29:11Z
Padre: crear filtros por no leida	https://github.com/SchoolSyncAr/schoolsync-be/issues/50	francopolesel	Done	SPRINT 5	Sprint 5	2.0	2024-05-28T12:56:27Z	2024-06-25T01:30:16Z
Documentacion: emprolijar y crear backlog para Sprint 5	https://github.com/SchoolSyncAr/schoolsync-be/issues/64	picsfrunk	Done	SPRINT 5	Sprint 5	4.0	2024-06-02T16:22:26Z	2024-06-21T19:54:51Z
Errormsg component as component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/105	francopolesel	Done	SPRINT 5	Sprint 5	1.0	2024-06-05T11:42:16Z	2024-06-14T23:56:44Z
Update a notification icon en navbar cuando marcas una notif como leida	https://github.com/SchoolSyncAr/schoolsync-fe/issues/108	JuanTexeira	Done	SPRINT 5	Sprint 5	2.0	2024-06-07T20:38:09Z	2024-06-19T22:37:39Z
Admin: Modificar Crear Notificacion	https://github.com/SchoolSyncAr/schoolsync-fe/issues/109	Lopez-Sol	Done	SPRINT 5	Sprint 5	2.0	2024-06-09T18:34:48Z	2024-06-23T17:32:54Z
Adaptar entidades a nuevo DER	https://github.com/SchoolSyncAr/schoolsync-be/issues/69	madescoces	Done	SPRINT 5	Sprint 5	4.0	2024-06-09T18:38:52Z	2024-06-15T22:35:03Z
Crear endpoint de Lista de Hijos por Padre	https://github.com/SchoolSyncAr/schoolsync-be/issues/70	francopolesel	Done	SPRINT 5	Sprint 5	1.0	2024-06-09T18:40:21Z	2024-06-19T22:15:38Z
Crear enpoint de Padres por curso	https://github.com/SchoolSyncAr/schoolsync-be/issues/71	francopolesel	Done	SPRINT 5	Sprint 5	1.0	2024-06-09T18:40:47Z	2024-06-19T22:15:46Z
Restyling Searchbar	https://github.com/SchoolSyncAr/schoolsync-fe/issues/110	madescoces	Done	SPRINT 5	Sprint 5	2.0	2024-06-09T18:44:15Z	2024-06-19T22:35:38Z
Agregar modals de confirmación de borrado	https://github.com/SchoolSyncAr/schoolsync-fe/issues/111	JuanTexeira	Done	SPRINT 5	Sprint 5	1.0	2024-06-09T18:46:01Z	2024-06-25T22:51:14Z
Test endpoints: Notificaciones	https://github.com/SchoolSyncAr/schoolsync-be/issues/72	francopolesel	Done	SPRINT 5	Sprint 5	3.0	2024-06-09T18:54:04Z	2024-06-25T01:29:59Z
Test endpoints: Auth	https://github.com/SchoolSyncAr/schoolsync-be/issues/73	madescoces	Done	SPRINT 5	Sprint 5	3.0	2024-06-09T18:58:35Z	2024-06-21T21:13:31Z
Test endpoints: User	https://github.com/SchoolSyncAr/schoolsync-be/issues/74	calipast	Done	SPRINT 5	Sprint 5	3.0	2024-06-09T18:58:57Z	2024-06-25T22:50:22Z
Test endpoints: Estudiantes	https://github.com/SchoolSyncAr/schoolsync-be/issues/75	JuanTexeira	Done	SPRINT 5	Sprint 5	3.0	2024-06-09T18:59:22Z	2024-06-25T22:50:29Z
Test endpoints: Padres	https://github.com/SchoolSyncAr/schoolsync-be/issues/76	calipast	Done	SPRINT 5	Sprint 5	3.0	2024-06-09T19:00:05Z	2024-06-25T22:50:35Z
DB: implementar borrado logico	https://github.com/SchoolSyncAr/schoolsync-be/issues/77	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-09T19:00:50Z	2024-06-15T23:37:21Z
Navegar a notifications dashboard al hacer click en el logo de SchoolSync	https://github.com/SchoolSyncAr/schoolsync-fe/issues/116	francopolesel	Done	SPRINT 5	Sprint 5	1.0	2024-06-14T20:21:51Z	2024-06-14T23:56:20Z
Test: Service Auth	https://github.com/SchoolSyncAr/schoolsync-fe/issues/119	madescoces	Done	SPRINT 5	Sprint 5	2.0	2024-06-14T22:01:22Z	2024-06-17T21:39:23Z
Test: Service Notifications	https://github.com/SchoolSyncAr/schoolsync-fe/issues/120	JuanTexeira	Done	SPRINT 5	Sprint 5	2.0	2024-06-14T22:03:28Z	2024-06-25T22:51:37Z
Test: Get All Students	https://github.com/SchoolSyncAr/schoolsync-fe/issues/123	calipast	Done	SPRINT 5	Sprint 5	2.0	2024-06-14T22:49:34Z	2024-06-25T22:04:03Z
Test: Searchbar Component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/124	francopolesel	Done	SPRINT 5	Sprint 5	2.0	2024-06-14T22:53:24Z	2024-06-25T01:28:33Z
Test: CreateNotification Component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/125	calipast	Done	SPRINT 5	Sprint 5	2.0	2024-06-14T22:55:01Z	2024-06-25T22:18:24Z
Adaptar entidades a nuevo DER	https://github.com/SchoolSyncAr/schoolsync-be/issues/78	Lopez-Sol	Done	SPRINT 5	Sprint 5	4.0	2024-06-15T22:38:41Z	2024-06-15T22:40:42Z
Refactor/create notification	https://github.com/SchoolSyncAr/schoolsync-fe/pull/128	Lopez-Sol	Done	SPRINT 5	Sprint 5			
Padre: crear filtros por por hijo	https://github.com/SchoolSyncAr/schoolsync-be/issues/85	JuanTexeira	Done	SPRINT 5	Sprint 5	2.0	2024-06-19T20:44:24Z	2024-06-25T22:50:48Z
Padre: crear filtros por hijo	https://github.com/SchoolSyncAr/schoolsync-fe/issues/132	JuanTexeira	Done	SPRINT 5	Sprint 5	2.0	2024-06-19T20:45:17Z	2024-06-25T22:52:15Z
Test Get All Parents	https://github.com/SchoolSyncAr/schoolsync-fe/issues/136	calipast	Done	SPRINT 5	Sprint 5	2.0	2024-06-21T17:59:36Z	2024-06-25T22:09:52Z
Documentacion: cualidades/drivers conductores del proyecto	https://github.com/SchoolSyncAr/schoolsync-be/issues/87	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:48:43Z	2024-06-23T05:02:05Z
Documentacion: métricas y análisis/conclusiones de cada sprint	https://github.com/SchoolSyncAr/schoolsync-be/issues/88	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:49:09Z	2024-06-27T22:22:55Z
Documentacion: descripción de la incorporación de la metodología al desarrollo del proyecto	https://github.com/SchoolSyncAr/schoolsync-be/issues/89	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:50:20Z	2024-06-23T20:57:58Z
Documentacion: Riesgos y matriz FODA	https://github.com/SchoolSyncAr/schoolsync-be/issues/90	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:50:41Z	2024-06-27T22:49:59Z
Documentacion: diagrama de diseño de solución y DER.	https://github.com/SchoolSyncAr/schoolsync-be/issues/92	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:51:49Z	2024-06-27T23:13:17Z
Documentacion: Actualizar alcance / requerimientos	https://github.com/SchoolSyncAr/schoolsync-be/issues/93	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:52:23Z	2024-06-23T04:48:37Z
Carpeta de Proyecto	https://github.com/SchoolSyncAr/schoolsync-be/issues/94	picsfrunk	Done	SPRINT 5	Sprint 5	2.0	2024-06-21T19:56:49Z	2024-06-27T23:23:08Z
Vista Admin: mejorar vista de listado de padres	https://github.com/SchoolSyncAr/schoolsync-fe/issues/139	Lopez-Sol	Done	SPRINT 5	Sprint 5	2.0	2024-06-22T15:57:38Z	2024-06-23T17:32:45Z
Vista Admin: mejorar vista listado de estudiantes	https://github.com/SchoolSyncAr/schoolsync-fe/issues/140	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-22T16:04:36Z	2024-06-23T17:32:37Z
Vista Padre: mejorar vista de Hijos	https://github.com/SchoolSyncAr/schoolsync-fe/issues/141	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-22T16:07:10Z	2024-06-23T17:32:28Z
Tooltip end of searchField	https://github.com/SchoolSyncAr/schoolsync-fe/issues/143	JuanTexeira	Done	SPRINT 5	Sprint 5	1.0	2024-06-22T16:10:43Z	2024-06-25T01:28:40Z
Bug Fixes and Code Coverage	https://github.com/SchoolSyncAr/schoolsync-fe/issues/156	madescoces	Done	SPRINT 5	Sprint 5	1.0	2024-06-26T01:16:30Z	2024-06-26T01:27:04Z
Creación de test de inicialización de create notification	https://github.com/SchoolSyncAr/schoolsync-fe/issues/157	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-26T01:28:46Z	2024-06-26T01:29:03Z
